code,uz,ru
A06AB08,Natriy pikosulfati,Натрия пикосульфат
A06AB09,Bizoksatin,Бизоксатин
A06AB20,Kontakt surgi preparatlari majmuada,Слабительные контактные препараты в комбинации
A06AB30,Kontakt surgi preparatlari belladdona alkaloidlar bilan majmuada,Слабительные контактные препараты в комбинации с алкалоидами белладонны
A06AB52,Bisakodil boshqa vositalar bilan majmuada,Бисакодил в комбинации со средствами
A06AB53,Dantron boshqa vositalar bilan majmuada,Дантрон в комбинации со средствами
A06AB56,A va B Sennozidlar boshqa vositalar bilan majmuada,Сеннозиды А и В в комбинации со средствами
A06AB57,Surgi itshumrut mevalari boshqa vositalar bilan majmuada,Крушины слабительной плоды в комбинации со средствами
A06AB58,Natriy pikosulfati boshqa vositalar bilan majmuada,Натрия пикосульфат в комбинации со средствами
A06AC,Ichakdagi modda xajmini oshiruvchi surgi vositalari,"Слабительные средства, увеличивающие объем кишечного содержимого"
A06AC01,Isfagula (zubturumning ovalsimon yoki burgasimon urugʻlari),Исфагула (подорожника овального или блошного семена)
A06AC02,Etuloza,Этулоза
A06AC03,Sterkuliya,Стеркулия
A06AC05,Zigʻir urugʻlari,Льна посевного семена
A06AC06,Metilsellyuloza,Метилцеллюлоза
A06AC07,Trititsiy (bugʻdoy klechatkasi),Тритиций (пшеничная клетчатка)
A06AC08,Polikarbofil kalsiy,Поликарбофил кальция
A06AC51,Isfagul boshqa vositalar bilan majmuada,Исфагула в комбинации со средствами
A06AC53,Sterkul boshqa vositalar bilan majmuada,Стеркулия в комбинации со средствами
A06AC55,Zigʻir urugʻlari boshqa vositalar bilan majmuada,Льна посевного семена в комбинации со средствами
A06AG,Huknali surgi vositalari,Слабительные средства в клизмах
A06AG01,Natriy fosfati,Натрия фосфат
A06AG02,Bisakodil,Бисакодил
A06AG03,"Dantron jumladan, boshqa vositalar bilan majmuada","Дантрон, в т.ч. в комбинации со средствами"
A06AG04,Glitserol,Глицерол
A06AG06,Yogʻ,Масло
A06AG07,Sorbitol,Сорбитол
