code,uz,ru
N02CX01,Pizotifen,Пизотифен
N02CX02,Klonidin,Клонидин
N02CX03,Iprazoxrom,Ипразохром
N02CX05,Dimetotiazin,Диметотиазин
N02CX06,Oksetoron,Оксеторон
N03AA,Barbituratlar va ularning hosilalari,Барбитураты и их производные
N03AA01,Metilfenobarbital,Метилфенобарбитал
N03AA02,Fenobarbital,Фенобарбитал
N03AA03,Primidon,Примидон
N03AA04,Barbeksaklon,Барбексаклон
N03AA05,Benzobarbital,Бензобарбитал
N03AA30,Metarbital,Метарбитал
N03AB,Gidantoin hosilalari,Производные гидантоина
N03AC,Oksazolidin hosilalari,Производные оксазолидина
N03AD,Suksinimid hosilalari,Производные сукцинимида
N03AD01,Etosuksimid,Этосуксимид
N03AD02,Fensuksimid,Фенсуксимид
N03AD03,Mesuksimid,Месуксимид
N03AD51,Etosuksimid boshqa vositalar bilan majmuada,Этосуксимид в комбинации со средствами
N03AE,Benzodiazepin hosilalari,Производные бензодиазепина
N03AE01,Klonazepam,Клоназепам
N03AF,Karboksamid hosilalari,Производные карбоксамида
N03AF01,Karbamazepin,Карбамазепин
N03AF02,Okskarbazepin,Окскарбазепин
N03AF03,Rufinamid,Руфинамид
N03AF04,Eslikarbazepin,Эсликарбазепин
N03AG,Yogʻ kislotalari hosilalari,Производные жирных кислот
N03AG01,Valproat kislotasi,Вальпроевая кислота
N03AG02,Valpromid,Вальпромид
N03AG03,Gamma-aminomoy kislotasi,Гамма-аминомасляная кислота
N03AG04,Vigabatrin,Вигабатрин
N03AG05,Progabid,Прогабид
N03AG06,Tiagabin,Тиагабин
N03AX,Boshqa tutqanoqga qarshi preparatlar,Другие противоэпилептические препараты
N03AX03,Sultiam,Сультиам
N03AX07,Fenatsemid,Фенацемид
N03AX09,Lamotridjin,Ламотриджин
N03AX10,Felbamat,Фелбамат
N03AX11,Topiramat,Топирамат
N03AX12,Gabapentin,Габапентин
N03AX13,Feneturid,Фенетурид
N03AX14,Levetiratsetam,Леветирацетам
N03AX15,Zonisamid,Зонисамид
N03AX16,Pregabalin,Прегабалин
N03AX17,Stiripentol,Стирипентол
N03AX18,Lakosamid,Лакосамид
N03AX19,Karisbamat,Карисбамат
N03AX21,Retigabin,Ретигабин
N03AX22,Perampanel,Перампанел
N03AX23,Brivaratsetam,Бриварацетам
N03AX30,Beklamid,Бекламид
N04AA,Uchlamchi aminlar,Третичные амины
N04AA01,Trigeksifenidil,Тригексифенидил
N04AA02,Biperiden,Бипериден
N04AA03,Metiksen,Метиксен
N04AA04,Protsiklidin,Проциклидин
N04AA05,Profenamin,Профенамин
N04AA08,Deksetimid,Дексэтимид
N04AA09,Fenglutarimid,Фенглутаримид
N04AA10,Mazatikol,Мазатикол
N04AA11,Bornaprin,Борнаприн
N04AA12,Tropatepin,Тропатепин
N04AB,Kimyoviy strukturasi boʻyicha antigistamin vositalariga yaqin boʻlgan efirlar,"Эфиры, близкие по химической структуре к антигистаминным средствам"
N04AB01,Etanautin,Этанаутин
N04AB02,Orfenadrin,Орфенадрин
N04AC,Tropin efirlari yoki tropin hosilalari,Эфиры тропина или производные тропина
N04AC01,Benzatropin,Бензатропин
N04AC30,Etibenzatropin,Этибензатропин
N04BA,Dopa va uning hosilalari,Допа и ее производные
N04BA01,Levodopa,Леводопа
N04BA02,Levodopa va l-dopa-dekarboksilaza ingibitori,Леводопа и l-dopa-декарбоксилазы ингибитор
N04BA03,"Levodopa, dekarboksilaza ingibitori va KOMT ingibitori","Леводопа, ингибитор декарбоксилазы и ингибитор КOMT"
N04BA04,Melevodopa,Мелеводопа
N04BA05,Melevodopa va dekarboksilaza ingibitori,Мелеводопа и декарбоксилазы ингибитор
N04BA06,Etilevodopa va dekarboksilaza ingibitori,Этилеводопа и декарбоксилазы ингибитор
N04BB,Adamantan hosilalari,Производные адамантана
N04BB01,Amantadin,Амантадин
N04BC,Dofamin retseptorlari agonistlari,Агонисты дофаминовых рецепторов
N04BC01,Bromokriptin,Бромокриптин
N04BC02,Pergolid,Перголид
N04BC03,Digidroergokriptin mezilati,Дигидроэргокриптина мезилат
N04BC04,Ropinirol,Ропинирол
N04BC05,Pramipeksol,Прамипексол
N04BC06,Kabergolin,Каберголин
N04BC07,Apomorfin,Апоморфин
N04BC08,Piribedil,Пирибедил
N04BC09,Rotigotin,Ротиготин
N04BD,V tipdagi monoaminoksidaza ingibitorlari,Ингибиторы моноаминоксидазы типа в
N04BD01,Selegilin,Селегилин
N04BD02,Razagilin,Разагилин
N04BX,Boshqa dofaminergik vositalar,Другие дофаминергические средства
N04BX01,Tolkapon,Толкапон
N04BX02,Entakapon,Энтакапон
N04BX03,Budipin,Будипин
N05AA,Alifatik fenotiazin hosilalari,Алифатические производные фенотиазина
N05AA01,Xlorpromazin,Хлорпромазин
N05AA02,Levomepromazin,Левомепромазин
N05AA03,Promazin,Промазин
N05AA04,Asepromazin,Ацепромазин
N05AA05,Triflupromazin,Трифлупромазин
N05AA06,Siamemazin,Циамемазин
N05AA07,Xlorproetazin,Хлорпроэтазин
N05AB,Piperazin fenotiazin hosilalari,Пиперазиновые производные фенотиазина
N05AB01,Diksirazin,Диксиразин
N05AB02,Flufenazin,Флуфеназин
N05AB03,Perfenazin,Перфеназин
N05AB04,Proxlorperazin,Прохлорперазин
N05AB05,Tiopropazat,Тиопропазат
N05AB06,Trifluoperazin,Трифлуоперазин
N05AB07,Asetofenazin,Ацетофеназин
N05AB08,Tioproperazin,Тиопроперазин
N05AB09,Butaperazin,Бутаперазин
N05AB10,Perazin,Перазин
N05AC,Piperazin fenotiazin hosilalari,Пиперидиновые производные фенотиазина
N05AC01,Peritsiazin,Перициазин
N05AC02,Tioridazin,Тиоридазин
N05AC03,Mezoridazin,Мезоридазин
N05AC04,Pipotiazin,Пипотиазин
N05AD,Butirofenon hosilalari,Производные бутирофенона
N05AD01,Galoperidol,Галоперидол
N05AD02,Trifluperidol,Трифлуперидол
N05AD03,Melperon,Мелперон
N05AD04,Moperon,Моперон
N05AD05,Pipamperon,Пипамперон
N05AD06,Bromperidol,Бромперидол
N05AD07,Benperidol,Бенперидол
N05AD08,Droperidol,Дроперидол
N05AD09,Fluanizon,Флуанизон
N05AE,Indol hosilalari,Производные индола
N05AE01,Oksipertin,Оксипертин
N05AE02,Molindon,Молиндон
N05AE03,Sertindol,Сертиндол
N05AE04,Ziprasidon,Зипрасидон
N05AE05,Lurazidon,Луразидон
N05AF,Tioksanten hosilalari,Производные тиоксантена
N05AF01,Flupentiksol,Флупентиксол
N05AF02,Klopentiksol,Клопентиксол
N05AF03,Xlorprotiksen,Хлорпротиксен
N05AF04,Tiotiksen,Тиотиксен
N05AF05,Zuklopentiksol,Зуклопентиксол
N05AG,Difenilbutilpiperidin hosilalari,Производные дифенилбутилпиперидина
N05AG01,Fluspirilen,Флуспирилен
N05AG02,Pimozid,Пимозид
N05AG03,Penfluridol,Пенфлуридол
N05AH,"Diazepinlar, oksazepinlar, tiazepinlar va oksepinlar","Диазепины, оксазепины, тиазепины и оксепины"
N05AH01,Loksapin,Локсапин
N05AH02,Klozapin,Клозапин
N05AH03,Olanzapin,Оланзапин
N05AH04,Kvetiapin,Кветиапин
N05AH05,Azenapin,Азенапин
N05AH06,Klotiapin,Клотиапин
N05AN,Litiy preparatlari,Препараты лития
N05AN01,Litiya soli,Лития соли
N05AX,Boshqa antipsixotik vositalar,Другие антипсихотические средства
N05AX07,Protipendil,Протипендил
N05AX08,Risperidon,Рисперидон
N05AX10,Mozapramin,Мозапрамин
N05AX11,Zotepin,Зотепин
N05AX12,Aripiprazol,Арипипразол
N05AX13,Paliperidon,Палиперидон
N05AX14,Iloperidon,Илоперидон
N05AX15,Kariprazin,Карипразин
N05AX16,Brekspiprazol,Брекспипразол
N05AX17,Pimavanserin,Пимавансерин
N05BA,Benzodiazepin hosilalari,Производные бензодиазепина
N05BA01,Diazepam,Диазепам
N05BA02,Xlordiazepoksid,Хлордиазепоксид
N05BA03,Medazepam,Медазепам
N05BA04,Oksazepam,Оксазепам
N05BA05,Dikaliy klorazepati,Клоразепат дикалия
N05BA06,Lorazepam,Лоразепам
N05BA07,Adinazolam,Адиназолам
N05BA08,Bromazepam,Бромазепам
N05BA09,Klobazam,Клобазам
N05BA10,Ketazolam,Кетазолам
N05BA11,Prazepam,Празепам
N05BA12,Alprazolam,Алпразолам
N05BA13,Galazepam,Галазепам
N05BA14,Pinazepam,Пиназепам
N05BA15,Kamazepam,Камазепам
N05BA16,Nordazepam,Нордазепам
N05BA17,Fludiazepam,Флудиазепам
N05BA18,Etil loflazepat,Этил лофлазепат
N05BA19,Etizolam,Этизолам
N05BA21,Klotiazepam,Клотиазепам
N05BA22,Kloksazolam,Клоксазолам
N05BA23,Tofizopam,Тофизопам
N05BA24,Bentazepam,Бентазепам
N05BA56,Lorazepam boshqa vositalar bilan majmuada,Лоразепам в комбинации со средствами
N05BB,Difenilmetan hosilalari,Производные дифенилметана
N05BB01,Gidroksizin,Гидроксизин
N05BB02,Kaptodiam,Каптодиам
N05BB51,Gidroksizin boshqa vositalar bilan majmuada,Гидроксизин в комбинации со средствами
N05BC,Karbamatlar,Карбаматы
N05BC01,Meprobamat,Мепробамат
N05BC03,Emilkamat,Эмилкамат
N05BC04,Mebutamat,Мебутамат
N05BC51,Meprobamat boshqa vositalar bilan majmuada,Мепробамат в комбинации со средствами
N05BD,Dibenzobitsiklooktadiyen hosilasi,Производные дибензобициклооктадиена
N05BE,Azaspirodekandion hosilasi,Производные азаспиродекандиона
N05BE01,Buspiron,Буспирон
N05BX,Boshqa anksiolitiklar,Другие анксиолитики
N05BX01,Mefenoksalon,Мефеноксалон
N05BX02,Gedokarnil,Гедокарнил
N05BX03,Etifoksin,Этифоксин
N05BX04,Fabomotizol,Фабомотизол
N05CA,Barbituratlar,Барбитураты
N05CA01,Pentobarbital,Пентобарбитал
N05CA02,Amobarbital,Амобарбитал
N05CA03,Butobarbital,Бутобарбитал
N05CA04,Barbital,Барбитал
N05CA05,Aprobarbital,Апробарбитал
N05CA06,Sekobarbital,Секобарбитал
N05CA07,Talbutal,Талбутал
N05CA08,Vinilbital,Винилбитал
N05CA09,Vinbarbital,Винбарбитал
N05CA10,Siklobarbital,Циклобарбитал
N05CA11,Geptabarbital,Гептабарбитал
N05CA12,Repozal,Репозал
N05CA15,Metogeksital,Метогекситал
N05CA16,Geksobarbital,Гексобарбитал
N05CA19,Tiopental natriya,Тиопентал натрия
N05CA20,Etallobarbital,Эталлобарбитал
N05CA21,Allobarbital,Аллобарбитал
N05CA22,Proksibarbal,Проксибарбал
N05CB,Barbituratlar vositalar bilan majmuada,Барбитураты в комбинации со средствами
N05CB01,Barbituratlar majmuasi,Барбитуратов комбинация
N05CB02,Barbituratlar boshqa vositalar bilan majmuada,Барбитураты в комбинации со средствами
N05CC,Aldegidlar va ilarning hosilalari,Альдегиды и их производные
N05CC01,Xloral gidrat,Хлорал гидрат
N05CC02,Xloralodol,Хлоралодол
N05CC03,Asetilglitsinamid xloral gidrat,Ацетилглицинамид хлорал гидрат
N05CC04,Dixloralfenazon,Дихлоралфеназон
N05CC05,Paraldegid,Паральдегид
N05CD,Benzodiazepin hosilalari,Производные бензодиазепина
N05CD01,Flurazepam,Флуразепам
N05CD02,Nitrazepam,Нитразепам
N05CD03,Flunitrazepam,Флунитразепам
N05CD04,Estazolam,Эстазолам
N05CD05,Triazolam,Триазолам
N05CD06,Lormetazepam,Лорметазепам
N05CD07,Temazepam,Темазепам
N05CD08,Midazolam,Мидазолам
N05CD09,Brotizolam,Бротизолам
N05CD10,Kvazepam,Квазепам
N05CD11,Loprazolam,Лопразолам
N05CD12,Doksefazepam,Доксефазепам
N05CD13,Sinolazepam,Цинолазепам
N05CE,Benzodiazepin hosilalari,Производные пиперидиндиона
N05CE01,Glutetimid,Глутетимид
N05CE02,Metiprilon,Метиприлон
N05CE03,Piritildion,Пиритилдион
N05CF,Benzodiazepinga oʻxshash vositalar,Бензодиазепиноподобные средства
N05CF01,Zopiklon,Зопиклон
N05CF02,Zolpidem,Золпидем
N05CF03,Zaleplon,Залеплон
N05CF04,Eszopiklon,Эсзопиклон
N05CH,Melatonin retseptorlarining agonistlari,Агонисты мелатониновых рецепторов
N05CH01,Melatonin,Мелатонин
N05CH02,Ramelteon,Рамелтеон
N05CH03,Tasimeltion,Тасимелтион
N05CM,Boshqa uyqu va sedativ vositalar,Другие снотворные и седативные средства
N05CM01,Metakvalon,Метаквалон
N05CM02,Klometiazol,Клометиазол
N05CM03,Bromizoval,Бромизовал
N05CM04,Karbromal,Карбромал
N05CM05,Skopolamin,Скополамин
N05CM06,Propiomazin,Пропиомазин
N05CM07,Triklofos,Триклофос
N05CM08,Etxlorvinol,Этхлорвинол
N05CM09,Valerian,Валериан
N05CM10,Geksapropimat,Гексапропимат
N05CM11,Bromidы,Бромиды
N05CM12,Apronal,Апронал
N05CM13,Valnoktamid,Валноктамид
N05CM15,Metilpentinol,Метилпентинол
N05CM16,Niaprazin,Ниапразин
N05CM17,Melatonin,Мелатонин
N05CM18,Deksmedetomidin,Дексмедетомидин
N05CX,Barbituratlar boshqa vositalar bilan majmuadan tashqari boshqa uyqu va sedativ vositalar,"Снотворные и седативные средства, кроме барбитуратов, в комбинации со средствами"
N05CX01,Meprobamat boshqa vositalar bilan majmuada,Мепробамат в комбинации со средствами
N05CX02,Metakvalon boshqa vositalar bilan majmuada,Метаквалон в комбинации со средствами
N05CX03,Metilpentinol boshqa vositalar bilan majmuada,Метилпентинол в комбинации со средствами
N05CX04,Klometiazol boshqa vositalar bilan majmuada,Клометиазол в комбинации со средствами
N05CX05,Emeproniy bromidi boshqa vositalar bilan majmuada,Эмепрония бромид в комбинации со средствами
N05CX06,Dipiperonilaminoetanol boshqa vositalar bilan majmuada,Дипиперониламиноэтанол в комбинации со средствами
N06AA,Monoaminlarni qayta soʻrilishini noselektiv ingibitorlari,Неселективные ингибиторы обратного захвата моноаминов
N06AA01,Dezipramin,Дезипрамин
N06AA02,Imipramin,Имипрамин
N06AA03,Imipramin oksidi,Имипрамина оксид
N06AA04,Klomipramin,Кломипрамин
N06AA05,Opipramol,Опипрамол
N06AA06,Trimipramin,Тримипрамин
N06AA07,Lofepramin,Лофепрамин
N06AA08,Dibenzepin,Дибензепин
N06AA09,Amitriptilin,Амитриптилин
N06AA10,Nortriptilin,Нортриптилин
N06AA11,Protriptilin,Протриптилин
N06AA12,Doksepin,Доксепин
N06AA13,Iprindol,Иприндол
N06AA14,Melitratsen,Мелитрацен
N06AA15,Butriptilin,Бутриптилин
N06AA16,Dosulepin,Досулепин
N06AA17,Amoksapin,Амоксапин
N06AA18,Dimetakrin,Диметакрин
N06AA19,Amineptin,Аминептин
N06AA21,Maprotilin,Мапротилин
N06AA23,Xinupramin,Хинупрамин
N06BC,Ksantin hosilalari,Производные ксантина
N06BC01,Kofein,Кофеин
N06BC02,Propentofillin,Пропентофиллин
N06BX,Boshqa psixostimulyatorlar va nootrop preparatlar,Другие психостимуляторы и ноотропные препараты
N06BX01,Meklofenoksat,Меклофеноксат
N06BX02,Piritinol,Пиритинол
N06BX03,Piratsetam,Пирацетам
N06BX04,Deanol,Деанол
N06BX05,Fipeksid,Фипексид
N06BX06,Sitikolin,Цитиколин
N06BX07,Oksiratsetam,Оксирацетам
N06BX08,Pirisudanol,Пирисуданол
N06BX09,Linopirdin,Линопирдин
N06BX10,Nizofenon,Низофенон
N06BX11,Aniratsetam,Анирацетам
N06BX12,Asetilkarnitin,Ацетилкарнитин
N06BX13,Idebenon,Идебенон
N06BX14,Prolintan,Пролинтан
N06BX15,Pipradrol,Пипрадрол
N06BX16,Pramiratsetam,Прамирацетам
N06BX17,Adrafinil,Адрафинил
N06BX18,Vinpotsetin,Винпоцетин
N06BX21,Mebikar,Мебикар
N06BX22,Fenibut,Фенибут
N06CA,Antidepressantlar psixotrop vositalar bilan majmuada,Антидепрессанты в комбинации с психотропными средствами
N06CA01,Amitriptilin va psixoleptiklar,Амитриптилин и психолептики
N06CA02,Melitrasen va psixoleptiklar,Мелитрасен и психолептики
N06CA03,Fluoksetin va psixoleptiklar,Флуоксетин и психолептики
N06DA,Antixolinesteraz vositalar,Антихолинэстеразные средства
N06DA01,Takrin,Такрин
N06DA02,Donepezil,Донепезил
N06DA03,Rivastigmin,Ривастигмин
N06DA04,Galantamin,Галантамин
N06DA05,Ipidakrin,Ипидакрин
N06DA52,Donepezil va memantin,Донепезил и мемантин
N06DA53,"Donepezil, memantin va ginkgo folium","Донепезил, мемантин и гинкго фолиум"
N06DX,Demensiyani davolash uchun boshqa preparatlar,Другие препараты для лечения деменции
N06DX01,Memantin,Мемантин
N06DX02,Ginkgo biloba barglari ekstrakti,Гинкго билоба листьев экстракт
N07AA,Antixolinesteraz vositalari,Антихолинэстеразные средства
N07AA01,Neostigmin bromidi,Неостигмина бромид
N07AA02,Piridostigmin bromidi,Пиридостигмина бромид
N07AA03,Distigmin bromidi,Дистигмина бромид
N07AA30,Ambenoniy xloridi,Амбенония хлорид
N07AA51,Neostigmin bromidi boshqa vositalar bilan majmuada,Неостигмина бромид в комбинации со средствами
N07AB,Xolin efirlari,Эфиры холина
N07AB01,Karbaxol,Карбахол
N07AB02,Betanexol,Бетанехол
N07AX,Boshqa parasimpatomimetiklar,Другие парасимпатомиметики
N07AX01,Pilokarpin,Пилокарпин
N07AX02,Xolin alfosserati,Холина альфосцерат
N07AX03,Sevimelin,Цевимелин
N07BA,Nikotinga qaramlikda qoʻllaniladigan preparatlar,"Препараты, применяемые при никотиновой зависимости"
P01BA01,Xloroxin,Хлорохин
P01BA02,Gidroksixloroxin,Гидроксихлорохин
P01BA03,Primaxin,Примахин
P01BA06,Amodiaxin,Амодиахин
P01BB,Biguanidlar,Бигуаниды
N07BB01,Disulfiram,Дисульфирам
N07BB02,Kalsiy karbimidi,Кальция карбимид
N07BB03,Akamprosat,Акампросат
N07BB04,Naltrekson,Налтрексон
N07BB05,Nalmefen,Налмефен
N07BC,Opiodga qaramlikda qoʻllaniladigan preparatlar,"Препараты, применяемые при опиоидной зависимости"
P01BC01,Xinin,Хинин
P01BC02,Mefloxin,Мефлохин
N07CA,Bosh aylanishini bartaraf etish uchun preparatlar,Препараты для устранения головокружения
N07CA01,Betagistin,Бетагистин
N07CA02,Sinnarizin,Циннаризин
N07CA03,Flunarizin,Флунаризин
N07CA04,Asetilleysin,Ацетиллейцин
N07CA52,Sinnarizin psixotrop vositalar bilan majmuada,Циннаризин в комбинации со средствами
N07XX,Nerv tizimi kasalliklarini davolash uchun boshqa preparatlar,Прочие препараты для лечения заболеваний нервной системы
N07XX01,Tirilazad mezilati,Тирилазада мезилат
N07XX02,Riluzol,Рилузол
N07XX03,Ksaliproden,Ксалипроден
N07XX04,Natriy oksibutirat,Натрия оксибутират
N07XX05,Amifampridin,Амифампридин
N07XX06,Tetrabenazin,Тетрабеназин
N07XX07,Fampridin,Фампридин
N07XX08,Tafamidis,Тафамидис
N07XX09,Dimetilfumarat,Диметилфумарат
N07XX10,Laxinimod,Лахинимод
N07XX11,Pitolisant,Питолисант
N07XX59,Dekstrometorfan boshqa vositalar bilan majmuada,Декстрометорфан в комбинации со средствами
P01AA,Gidroksixinolin hosilalari,Производные гидроксихинолина
P01AA01,Broksixinolin,Броксихинолин
P01AA02,Klioxinol,Клиохинол
P01AA04,Xlorxinaldol,Хлорхинальдол
P01AA05,Tilbroxinol,Тилброхинол
P01AA52,Klioxinol boshqa vositalar bilan majmuada,Клиохинол в комбинации со средствами
P01AB,Nitroimidazol hosilalari,Производные нитроимидазола
P01AB01,Metronidazol,Метронидазол
P01AB02,Tinidazol,Тинидазол
P01AB03,Ornidazol,Орнидазол
P01AB04,Azanidazol,Азанидазол
P01AB05,Propenidazol,Пропенидазол
P01AB06,Nimorazol,Ниморазол
P01AB07,Seknidazol,Секнидазол
P01AB51,Metronidazol majmualari,Метронидазол комбинации
P01AC,Dixloroatsetamid hosilalari,Производные дихлороацетамида
P01AC01,Diloksanid,Дилоксанид
P01AC02,Klefamid,Клефамид
P01AC03,Etofamid,Этофамид
P01AC04,Teklozan,Теклозан
P01AR,Margumush birikmalari,Соединения мышьяка
P01AR02,Difetarson,Дифетарсон
P01AR03,Glikobiarsol,Гликобиарсол
P01AX,Amyobiaz va boshqa protozoy infeksiyalarini davolash uchun preparatlar,Другие препараты для лечения амебиаза и других протозойных инфекций
P01AX01,Xiniofon,Хиниофон
P01AX02,Emetin,Эметин
P01AX04,Fanxinon,Фанхинон
P01AX05,Mepakrin,Мепакрин
P01AX06,Atovaxon,Атовахон
P01AX07,Trimetreksat,Триметрексат
P01AX08,Tenonitrozol,Тенонитрозол
P01AX09,Digidroemetin,Дигидроэметин
P01AX10,Fumagillin,Фумагиллин
P01AX11,Nitazoksanid,Нитазоксанид
P01AX52,Emetin boshqa vositalar bilan majmuada,Эметин в комбинации со средствами
P02BA,Xinolin hosilalari va oʻxshash birikmalar,Производные хинолина и родственные соединения
P02BA01,Prazikvantel,Празиквантел
P02BA02,Oksamnixin,Оксамнихин
P02BB,Fosfoorganik birikmalar,Фосфорорганические соединения
P02BB01,Metrifonat,Метрифонат
P02BX,Trematodozni davolash uchun boshqa preparatlar,Другие препараты для лечения трематодозов
P02BX01,Bitionol,Битионол
P02BX02,Niridazol,Ниридазол
P02BX03,Stibofen,Стибофен
P02BX04,Triklabendazol,Триклабендазол
P02CA,Benzimidazol hosilalari,Производные бензимидазола
P02CA01,Mebendazol,Мебендазол
P02CA02,Tiabendazol,Тиабендазол
P02CA03,Albendazol,Албендазол
P02CA04,Siklobendazol,Циклобендазол
P02CA05,Flubendazol,Флубендазол
P02CA06,Fenbendazol,Фенбендазол
P02CA51,Mebendazol boshqa vositalar bilan majmuada,Мебендазол в комбинации со средствами
P02CB,Piperazin va uning hosilalari,Пиперазин и его производные
P02CB01,Piperazin,Пиперазин
P02CB02,Dietilkarbamazin,Диэтилкарбамазин
P02CC,Tetragidropirimidin hosilalari,Производные тетрагидропиримидина
P02CC01,Pirantel,Пирантел
P02CC02,Oksantel,Оксантел
P02CE,Imidazotiazol hosilalari,Производные имидазотиазола
P02CE01,Levamizol,Левамизол
P02CF,Avermektin,Авермектины
P02CF01,Ivermektin,Ивермектин
P02CX,Nematodozni davolash uchun boshqa preparatlar,Другие препараты для лечения нематодозов
P02CX01,Pirviniy xloridi,Пирвиния хлорид
P02CX02,Befeniy gidroksinaftoati,Бефения гидроксинафтоат
P02DA,Salitsil kislota hosilalari,Производные салициловой кислоты
P02DA01,Niklosamid,Никлосамид
P02DX,Sestodozni davolash uchun boshqa preparatlar,Другие препараты для лечения цестодозов
P02DX01,Dezaspidin,Дезаспидин
P02DX02,Dixlorofen,Дихлорофен
P03AA,Oltingugurt saqlovchi vositalar,Серосодержащие средства
P03AA01,Diksantogen,Диксантоген
P03AA02,Kaliy polisulfidi,Полисульфид калия
P03AA03,Mesulfen,Месульфен
P03AA04,Disulfiram,Дисульфирам
P03AA05,Tiram,Тирам
P03AA54,Disulfiram boshqa vositalar bilan majmuada,Дисульфирам в комбинации со средствами
P03AB,Xlor saqlovchi vositalar,Хлорсодержащие средства
R03AB02,Izoprenalin,Изопреналин
R03AB03,Orsiprenalin,Орципреналин
R03AC,Selektiv beta 2-adrenomimetiklar,Селективные бета2-адреномиметики
R03AC02,Salbutamol,Сальбутамол
R03AC03,Terbutalin,Тербуталин
R03AC04,Fenoterol,Фенотерол
R03AC05,Rimiterol,Римитерол
R03AC06,Geksoprenalin,Гексопреналин
R03AC07,Izoetarin,Изоэтарин
R03AC08,Pirbuterol,Пирбутерол
R03AC09,Tretoxinol,Третохинол
R03AC10,Karbuterol,Карбутерол
R03AC11,Tulobuterol,Тулобутерол
R03AC12,Salmeterol,Салметерол
R03AC13,Formoterol,Формотерол
R03AC14,Klenbuterol,Кленбутерол
R03AC15,Reproterol,Репротерол
R03AC16,Prokaterol,Прокатерол
R03AC17,Bitolterol,Битолтерол
R03AC18,Indakaterol,Индакатерол
R03AC19,Olodaterol,Олодатерол
R03AK,Adrenergik vositalar kortikosteroidlar bilan yoki antixolinergik vositalardan tashqari boshqa preparatlar bilan majmuada,"Адренергические средства в комбинации с кортикостероидами или другими препаратами, кроме антихолинергических средств"
R03AK01,Epinefrin nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Эпинефрин в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK02,Izoprenalin nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Изопреналин в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK03,Fenoterol nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Фенотерол в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK04,Salbutamol nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Сальбутамол в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK05,Reproterol nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Репротерол в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK06,Salmeterol nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Сальметерол в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK07,Formoterol nafas yoʻllarining obstruktiv kasalliklarini davolash uchun vositalar bilan majmuada,Формотерол в комбинации со средствами для лечения обструктивных заболеваний дыхательных путей
R03AK08,Nafas yoʻllarining obstruktiv kasalliklarini davolash Formoterol va beklometazon,Формотерол и беклометазон для лечения обструктивных заболеваний дыхательных путей
R03AK09,Nafas yoʻllarining obstruktiv kasalliklarini davolash uchun Formoterol va mometazon,Формотерол и мометазон для лечения обструктивных заболеваний дыхательных путей
R03AK10,Vilanterol va flutikazon furoati,Вилантерол и флутиказона фуроат
R03AK11,Formoterol va flutikazon,Формотерол и флутиказон
R03AK12,Salmeterol va budesonid,Сальметерол и будесонид
R03AK13,Salbutamol va beklometazon,Сальбутамол и беклометазон
R03AK14,Indakaterol va mometazon,Индакатерол и мометазон
R03AL,Adrenergik vositalar antixolinergik vositalar bilan majmuada,Адренергические средства в комбинации с антихолинергическими средствами
R03AL01,Fenoterol va ipratropiy bromidi,Фенотерол и ипратропия бромид
R03AL03,Vilanterol va umeklidiniy bromidi,Вилантерол и умеклидиния бромид
R03AL04,Glikopirroniy bromidi va indakaterol,Гликопиррония бромид и индакатерол
R03AL05,Formoterol va aklidiniy bromidi,Формотерол и аклидиния бромид
R03AL06,Olodoterol va tiotropiy bromidi,Олодотерол и тиотропия бромид
R03AL07,Formoterol va glikopirroniy bromidi,Формотерол и гликопиррония бромид
R03AL08,"Vilanterol, umeklidiniy bromidi va flutikazon furoati","Вилантерол, умеклидиния бромид и флутиказона фуроат"
R03AL09,"Formoterol, glikopirroniy bromidi va beklometazon","Формотерол, гликопиррония бромид и беклометазон"
R03AL10,Formoterol va tiotropiy bromidi,Формотерол и тиотропия бромид
R03AL11,"Formoterol, glikopirroniy bromidi va budesonid","Формотерол, гликопиррония бромид и будесонид"
R03AL12,"Indakaterol, glikopirroniy bromidi va mometazon","Индакатерол, гликопиррония бромид и мометазон"
R03BA,Kortikosteroidlar,Кортикостероиды
R03BA01,Beklometazon,Беклометазон
R03BA02,Budesonid,Будесонид
R03BA03,Flunizolid,Флунизолид
R03BA04,Betametazon,Бетаметазон
R03BA05,Flutikazon,Флутиказон
R03BA06,Triamsinolon,Триамцинолон
R03BA07,Mometazon,Мометазон
R03BA08,Siklesonid,Циклесонид
R03BA09,Flutikazon furoati,Флутиказона фуроат
R03BB,Antixolinergik vositalar,Антихолинергические средства
