CODE,UZ,RU,EN
1727400,Toshkent viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Ташкентской области,
1727401,Nurafshon,Нурафшон,
1727404,Olmaliq,Алмалык,
1727407,Angren,Ангрен,
1727413,Bekobod,Бекабад,
1727415,Ohangaron,Ахангаран,
1727419,Chirchiq,Чиpчик,
1727424,Yangiyo‘l,Янгиюль,
1730200,Farg‘ona viloyatining tumanlari,Районы Ферганской области,
1730203,Oltiariq tumani (Markaz -Oltiariq shaharchasi),Алтыарыкский район (Центр -гп Алтыарык),
1730206,Qo‘shtepa tumani (Markaz -Langar a.p.),Куштепинский район (Центр -нп Лангар),
1730209,Bog‘dod tumani (Markaz -Bog‘dod shaharchasi),Багдадский район (Центр -гп Багдад),
1730212,Buvayda tumani (Markaz -Ibrat shaharchasi),Бувайдинский район (Центр -гп Ибрат),
1730215,Beshariq tumani (Markaz -Beshariq sh.),Бешарыкский район (Центр -г. Бешарык),
1730218,Quva tumani (Markaz -Quva sh.),Кувинский район (Центр -г. Кува),
1730221,Uchko‘prik tumani (Markaz -Uchko‘prik shaharchasi),Учкуприкский район (Центр -гп Учкуприк),
1730224,Rishton tumani (Markaz -Rishton sh.),Риштанский район (Центр -г. Риштан),
1730226,So‘x tumani (Markaz -Ravon shaharchasi),Сохский район (Центр -гп Равон),
1730227,Toshloq tumani (Markaz -Toshloq shaharchasi),Ташлакский район (Центр -гп Ташлак),
1730230,O‘zbekiston tumani (Markaz -Yaypan sh.),Узбекистанский район (Центр -г. Яйпан),
1730233,Farg‘ona tumani (Markaz -Chimyon shaharchasi),Ферганский район (Центр -гп Чимен),
1730236,Dang‘ara tumani (Markaz -Dang‘ara shaharchasi),Дангаринский район (Центр -гп Дангара),
1730238,Furqat tumani (Markaz -Navbahor shaharchasi),Фуркатский район (Центр -гп Навбахор),
1730242,Yozyovon tumani (Markaz -Yozyovon shaharchasi),Язъяванский район (Центр -гп Язъяван),
1730400,Farg‘ona viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Ферганской области,
1730401,Farg‘ona,Фергана,
1730405,Qo‘qon,Коканд,
1730408,Quvasoy,Кувасай,
1730412,Marg‘ilon,Маpгилан,
1733200,Xorazm viloyatining tumanlari,Районы Хорезмской области,
1733204,Bog‘ot tumani (Markaz -Bog‘ot shaharchasi),Багатский район (Центр -гп Багат),
1733208,Gurlan tumani (Markaz -Gurlan shaharchasi),Гурленский район (Центр -гп Гурлен),
1733212,Qo‘shko‘pir tumani (Markaz -Qo‘shko‘pir shaharchasi),Кошкупырский район (Центр -гп Кошкупыр),
1733217,Urganch tumani (Markaz -Qoroul a.p.),Ургенчский район (Центр -нп Караул),
1733220,Xazorasp tumani (Markaz -Xazorasp shaharchasi),Хазараспский район (Центр -гп Хазарасп),
1733221,Tuproqqal’a tumani (Markaz -Pitnak shahri),Тупроккалинский район (Центр -г. Питнак),
1733223,Xonqa tumani (Markaz -Xonqa shaharchasi),Ханкинский район (Центр -гп Ханка),
1733226,Xiva tumani (Markaz -Xiva sh.),Хивинский район (Центр -г. Хива),
1733230,Shovot tumani (Markaz -Shovot shaharchasi),Шаватский район (Центр -гп Шават),
1733233,Yangiariq tumani (Markaz -Yangiariq shaharchasi),Янгиарыкский район (Центр -гп Янгиарык),
1733236,Yangibozor tumani (Markaz -Yangibozor shaharchasi),Янгибазарский район (Центр -гп Янгибазар),
1733400,Xorazm viloyatining viloyat ahamiyatiga ega shaharlari,Города областного подчинения Хорезмской области,
1733401,Urganch,Ургенч,
1733406,Xiva,Хива,
1735200,Qoraqalpog‘iston Respublikasining tumanlari,Районы Республики Каракалпакстан,
1735204,Amudaryo tumani (Markaz -Mang‘it sh.),Амударьинский район (Центр -г. Мангит),
1735207,Beruniy tumani (Markaz -Beruniy sh.),Берунийский район (Центр -г. Беруни),
1735209,Bo‘zatov tumani (Markaz -Bo‘zatov shaharchasi),Бозатауский район (Центр -гп Бозатау),
1735211,Qorao‘zak tumani (Markaz -Qorao‘zak shaharchasi),Караузякский район (Центр -гп Караузяк),
1735212,Kegeyli tumani (Markaz -Kegeyli shaharchasi),Кегейлийский район (Центр -гп Кегейли),
1735215,Qo‘ng‘irot tumani (Markaz -Qo‘ng‘irot sh.),Кунградский район (Центр -г. Кунград),
1735218,Qanliko‘l tumani (Markaz -Qanliko‘l shaharchasi),Канлыкульский район (Центр -гп Канлыкуль),
1735222,Mo‘ynoq tumani (Markaz -Mo‘ynoq sh.),Муйнакский район (Центр -г. Муйнак),
1735225,Nukus tumani (Markaz -Oqmang‘it shaharchasi),Нукусский район (Центр -гп Акмангит),
1735228,Taxiatosh tumani (Markaz -Taxiatosh sh.),Тахиаташский район (Центр -г.Тахиаташ),
1735230,Taxtako‘pir tumani (Markaz -Taxtako‘pir shaharchasi),Тахтакупырский район (Центр -гп Тахтакупыр),
1735233,To‘rtko‘l tumani (Markaz -To‘rtko‘l sh.),Турткульский район (Центр -г. Турткуль),
1735236,Xo‘jayli tumani (Markaz -Xo‘jayli sh.),Ходжейлийский район (Центр -г. Ходжейли,
1735240,Chimboy tumani (Markaz -Chimboy sh.),Чимбайский район (Центр -г. Чимбай),
1735243,Shumanay tumani (Markaz -Shumanay sh.),Шуманайский район (Центр -г. Шуманай),
1735250,Ellikkala tumani (Markaz -Bo‘ston sh.),Элликкалинский район (Центр -г. Бустан),
1735400,Qoraqalpog‘iston Respublikasi ahamiyatiga ega shaharlar,Гоpода pеспуб-го подч. Республики Каpакалпакстан,
1735401,Nukus,Нукус,
